layer,preprocessed_raster,description
Economy: Commercial,Economy_Commercial.tif,"Linear distance to the closest commercial facility in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of commercial facilities, data from WB CPL dataset and OSM 2017."
Economy: Nighttime lights,Economy_Nighttime_lights.tif,Raster layer containing radiance per pixel for the year 2015. Raw data was retrieved from National Oceanic and Atmospheric Administration (NOAA) 2018.
Economy: Traditional markets,Economy_Traditional_markets.tif,"Linear distance to the closest traditional market in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of traditional markets, data from WB CPL dataset."
Education: Elementary schools,Education_Elementary_schools.tif,Linear distance to the closest elementary school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of elementary schools from WB CPL dataset.
Education: High schools,Education_High_schools.tif,Linear distance to the closest high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of high schools from WB CPL dataset.
Education: Higher education,Education_Higher_education.tif,Linear distance to the closest university in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of private and public colleges and universities for from WB CPL dataset and OSM 2017.
Education: Junior high schools,Education_Junior_high_schools.tif,Linear distance to the closest junior high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of junior high schools from WB CPL dataset.
Education: Kindergartens,Education_Kindergartens.tif,Linear distance to the closest kindergarten in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of kindergartens from OSM 2017.
Education: Vocational high,Education_Vocational_high.tif,Linear distance to the closest vocational high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of voactional high schools from WB CPL dataset.
Geography: Elevation,Geography_Elevation.tif,Elevation in meters above the sea level. Elevation was computed with R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package elevatr: Access Elevation Data from Various APIs version 0.1.4. Data service from Amazon Web Services elevation tiles.
Geography: Slope,Geography_Slope.tif,"Slope in values from 0 to 1. Slope was computed with R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and  the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Specifically with the “terrain” function, which computes slope, aspect and other terrain characteristics from a raster with elevation data."
Health: Clinics,Health_Clinics.tif,"Linear distance to the closest clinic in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of clinics, data from WB CPL dataset and OSM 2017."
Health: Hospitals,Health_Hospitals.tif,"Linear distance to the closest hospital in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
Population: Density,Population_Density.tif,Raster layer containing population number per pixel for the year 2015. Raw data was retrieved from Global Human Settlements (GHS) 2018.
Transit: Bus (Trans Semarang),Transit_Bus_Trans_Semarang.tif,"Linear distance to the closest BRT shelter in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with BRT shelters, data from WB CPL dataset."
Transit: Mini bus,Transit_Mini_bus.tif,"Linear distance to the closest mini bus (Angkutan) route in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial lines with Angkutan routes, data from WB CPL dataset."
Transit: Train stations,Transit_Train_stations.tif,"Linear distance to the closest train station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with train stations, data from WB CPL dataset."
Urban services: Cemeteries,Urban_services_Cemeteries.tif,"Linear distance to the closest cemetery in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of cemeteries, data from WB CPL dataset."
Urban services: Cultural centers,Urban_services_Cultural_centers.tif,"Linear distance to the closest cultural center in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of museums, landmarks, monuments, and tourist attractions, data from OSM 2017."
Urban services: Fire stations,Urban_services_Fire_stations.tif,"Linear distance to the closest fire station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of fire stations, data from OSM 2017."
Urban services: Goverment offices,Urban_services_Goverment_offices.tif,"Linear distance to the closest government offices in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of government offices, data from WB CPL dataset and OSM 2017."
Urban services: Green open space,Urban_services_Green_open_space.tif,"Linear distance to the closest green open space in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of urban parks, gardens, and forests data from WB CPL dataset."
Urban services: Libraries,Urban_services_Libraries.tif,"Linear distance to the closest library in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of libraries, data from OSM 2017."
Urban services: Places of worship,Urban_services_Places_of_worship.tif,"Linear distance to the closest place of worship in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of places of worship, data from WB CPL dataset."
Urban services: Police stations,Urban_services_Police_stations.tif,"Linear distance to the closest police station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of police stations, data from OSM 2017."
Urban services: Post offices,Urban_services_Post_offices.tif,"Linear distance to the closest post office in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of post offices, data from WB CPL dataset and OSM 2017."
Urban services: Recreational facilities,Urban_services_Recreational_facilities.tif,"Linear distance to the closest recreation facilities in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of recreation facilities such as community centers, sports facilities, bars, cinemas and natural areas data from WB CPL dataset and OSM 2017."
Urban services: Waste collection points,Urban_services_Waste_collection_points.tif,"Linear distance to the closest garbage collection point in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the waste collection points, data from WB CPL dataset."
